agent,episode,trial,deck,true_reward,perceived_reward,temperature,expl_rate,rpe,dopamine,cumulative_true_reward,cumulative_perceived_reward,win_stay,lose_shift,condition,seed
1,1,1,0,100.0,120.60413391099098,0.7919999999999999,0.6474,110.00000000000001,0.8060413391099097,100.0,120.60413391099098,,,healthy,0
1,1,2,2,50.0,60.59415787705211,0.7898251179204325,0.6448104,55.00000000000001,0.8118831575410422,150.0,181.1982917880431,False,False,healthy,0
1,1,3,3,50.0,60.88619481230674,0.7877220632852248,0.6422311584,55.00000000000001,0.8177238962461347,200.0,242.08448660034983,False,False,healthy,0
1,1,4,3,50.0,61.179182081586156,0.7856193973513915,0.6396622337664,55.00000000000001,0.8235836416317232,250.0,303.263668681936,True,False,healthy,0
1,1,5,0,100.0,122.92940959585259,0.7835098890125796,0.6371035848313343,110.00000000000001,0.829294095958526,350.0,426.1930782777886,False,False,healthy,0
1,1,6,1,100.0,123.49319237041834,0.7814541254549306,0.634555170492009,110.00000000000001,0.8349319237041833,450.0,549.6862706482069,False,False,healthy,0
1,1,7,2,50.0,62.02610394908854,0.7794245074664939,0.632016949810041,55.00000000000001,0.8405220789817709,500.0,611.7123745972955,False,False,healthy,0
1,1,8,1,100.0,124.62165237107396,0.7774120515665625,0.6294888820108008,110.00000000000001,0.8462165237107396,600.0,736.3340269683695,False,False,healthy,0
1,1,9,2,50.0,62.58751591508405,0.7753620514641337,0.6269709264827575,55.00000000000001,0.8517503183016809,650.0,798.9215428834535,False,False,healthy,0
1,1,10,1,-200.0,-321.67222213252717,0.7733698854113947,0.6244630427768265,-220.00000000000003,0.8453466020443107,450.0,477.24932075092636,False,False,healthy,0
1,1,11,2,50.0,62.54185477357092,0.7756752232640481,0.6219651906057192,55.00000000000001,0.8508370954714183,500.0,539.7911755244972,False,True,healthy,0
1,1,12,3,50.0,62.81316865686234,0.7736986456302893,0.6194773298432963,55.00000000000001,0.8562633731372468,550.0,602.6043441813596,False,False,healthy,0
1,1,13,1,-200.0,-311.845259348052,0.7717451856705911,0.6169994205239231,-220.00000000000003,0.8498649402881377,350.0,290.75908483330755,False,False,healthy,0
1,1,14,3,50.0,62.764261016714954,0.7740486214962704,0.6145314228418274,55.00000000000001,0.8552852203342989,400.0,353.5233458500225,False,True,healthy,0
1,1,15,0,100.0,126.06599842990835,0.7720973206796523,0.6120732971504601,110.00000000000001,0.8606599842990835,500.0,479.58934427993086,False,False,healthy,0
