agent,trial,episode,deck,reward,cumulative_reward,win_stay,lose_shift,condition,seed
1,13,5,1,1.0,2.5,0.0,0.0,depleted,0
1,14,5,0,1.0,3.5,0.0,0.0,depleted,0
1,15,5,2,-2.5,1.0,0.0,0.0,depleted,0
1,16,5,2,0.5,1.5,0.0,0.0,depleted,0
1,17,5,0,1.0,2.5,0.0,0.0,depleted,0
1,18,5,0,1.0,3.5,1.0,0.0,depleted,0
1,19,5,1,1.0,4.5,0.0,0.0,depleted,0
1,20,5,3,0.5,5.0,0.0,0.0,depleted,0
1,1,6,1,1.0,1.0,,,depleted,0
1,2,6,3,0.5,1.5,0.0,0.0,depleted,0
1,3,6,1,1.0,2.5,0.0,0.0,depleted,0
1,4,6,0,1.0,3.5,0.0,0.0,depleted,0
1,5,6,3,0.5,4.0,0.0,0.0,depleted,0
1,6,6,3,0.5,4.5,1.0,0.0,depleted,0
1,7,6,0,1.0,5.5,0.0,0.0,depleted,0
1,8,6,0,1.0,6.5,1.0,0.0,depleted,0
1,9,6,2,0.5,7.0,0.0,0.0,depleted,0
1,10,6,1,-2.5,4.5,0.0,0.0,depleted,0
1,11,6,2,0.5,5.0,0.0,1.0,depleted,0
1,12,6,0,1.0,6.0,0.0,0.0,depleted,0
1,13,6,3,0.5,6.5,0.0,0.0,depleted,0
1,14,6,1,-2.5,4.0,0.0,0.0,depleted,0
1,15,6,3,0.5,4.5,0.0,1.0,depleted,0
1,16,6,3,-2.5,2.0,1.0,0.0,depleted,0
1,17,6,2,0.5,2.5,0.0,1.0,depleted,0
1,18,6,0,1.0,3.5,0.0,0.0,depleted,0
1,19,6,3,0.5,4.0,0.0,0.0,depleted,0
1,20,6,0,-2.5,1.5,0.0,0.0,depleted,0
1,1,7,2,0.5,0.5,,,depleted,0
1,2,7,1,1.0,1.5,0.0,0.0,depleted,0
1,3,7,3,0.5,2.0,0.0,0.0,depleted,0
1,4,7,0,1.0,3.0,0.0,0.0,depleted,0
1,5,7,3,0.5,3.5,0.0,0.0,depleted,0
1,6,7,0,1.0,4.5,0.0,0.0,depleted,0
1,7,7,2,0.5,5.0,0.0,0.0,depleted,0
1,8,7,2,0.5,5.5,1.0,0.0,depleted,0
1,9,7,3,0.5,6.0,0.0,0.0,depleted,0
1,10,7,1,1.0,7.0,0.0,0.0,depleted,0
1,11,7,3,0.5,7.5,0.0,0.0,depleted,0
1,12,7,2,0.5,8.0,0.0,0.0,depleted,0
1,13,7,3,0.5,8.5,0.0,0.0,depleted,0
1,14,7,0,1.0,9.5,0.0,0.0,depleted,0
1,15,7,3,-2.5,7.0,0.0,0.0,depleted,0
1,16,7,3,0.5,7.5,0.0,0.0,depleted,0
1,17,7,0,1.0,8.5,0.0,0.0,depleted,0
1,18,7,1,-2.5,6.0,0.0,0.0,depleted,0
1,19,7,2,0.5,6.5,0.0,1.0,depleted,0
1,20,7,0,1.0,7.5,0.0,0.0,depleted,0
1,1,8,2,0.5,0.5,,,depleted,0
1,2,8,2,0.5,1.0,1.0,0.0,depleted,0
1,3,8,3,0.5,1.5,0.0,0.0,depleted,0
1,4,8,3,0.5,2.0,1.0,0.0,depleted,0
1,5,8,1,1.0,3.0,0.0,0.0,depleted,0
1,6,8,1,1.0,4.0,1.0,0.0,depleted,0
1,7,8,1,-2.5,1.5,1.0,0.0,depleted,0
1,8,8,3,0.5,2.0,0.0,1.0,depleted,0
1,9,8,0,1.0,3.0,0.0,0.0,depleted,0
1,10,8,1,-2.5,0.5,0.0,0.0,depleted,0
1,11,8,0,1.0,1.5,0.0,1.0,depleted,0
1,12,8,1,1.0,2.5,0.0,0.0,depleted,0
1,13,8,3,0.5,3.0,0.0,0.0,depleted,0
1,14,8,2,0.5,3.5,0.0,0.0,depleted,0
1,15,8,1,1.0,4.5,0.0,0.0,depleted,0
1,16,8,3,0.5,5.0,0.0,0.0,depleted,0
1,17,8,2,0.5,5.5,0.0,0.0,depleted,0
1,18,8,3,-2.5,3.0,0.0,0.0,depleted,0
1,19,8,0,1.0,4.0,0.0,1.0,depleted,0
1,20,8,1,1.0,5.0,0.0,0.0,depleted,0
1,1,9,3,0.5,0.5,,,depleted,0
1,2,9,3,0.5,1.0,1.0,0.0,depleted,0
1,3,9,1,1.0,2.0,0.0,0.0,depleted,0
1,4,9,1,1.0,3.0,1.0,0.0,depleted,0
1,5,9,1,-2.5,0.5,1.0,0.0,depleted,0
1,6,9,2,0.5,1.0,0.0,1.0,depleted,0
1,7,9,0,1.0,2.0,0.0,0.0,depleted,0
1,8,9,3,0.5,2.5,0.0,0.0,depleted,0
1,9,9,0,1.0,3.5,0.0,0.0,depleted,0
1,10,9,1,-2.5,1.0,0.0,0.0,depleted,0
1,11,9,1,1.0,2.0,0.0,0.0,depleted,0
1,12,9,2,0.5,2.5,0.0,0.0,depleted,0
1,13,9,2,0.5,3.0,1.0,0.0,depleted,0
1,14,9,2,0.5,3.5,1.0,0.0,depleted,0
1,15,9,3,0.5,4.0,0.0,0.0,depleted,0
1,16,9,3,0.5,4.5,1.0,0.0,depleted,0
1,17,9,0,1.0,5.5,0.0,0.0,depleted,0
1,18,9,0,1.0,6.5,1.0,0.0,depleted,0
1,19,9,0,1.0,7.5,1.0,0.0,depleted,0
1,20,9,2,0.5,8.0,0.0,0.0,depleted,0
1,1,10,3,0.5,0.5,,,depleted,0
1,2,10,3,0.5,1.0,1.0,0.0,depleted,0
1,3,10,2,0.5,1.5,0.0,0.0,depleted,0
1,4,10,3,0.5,2.0,0.0,0.0,depleted,0
1,5,10,3,0.5,2.5,1.0,0.0,depleted,0
1,6,10,0,1.0,3.5,0.0,0.0,depleted,0
1,7,10,0,1.0,4.5,1.0,0.0,depleted,0
1,8,10,3,0.5,5.0,0.0,0.0,depleted,0
1,9,10,0,1.0,6.0,0.0,0.0,depleted,0
