condition,agent,block,net_score
healthy,1,1,0.011000000000000005
healthy,1,2,-0.03300000000000001
healthy,1,3,-0.005000000000000007
healthy,1,4,0.010999999999999996
healthy,1,5,0.010999999999999996
healthy,2,1,0.011000000000000005
healthy,2,2,-0.03300000000000001
healthy,2,3,-0.005000000000000007
healthy,2,4,0.010999999999999996
healthy,2,5,0.010999999999999996
healthy,3,1,0.011000000000000005
healthy,3,2,-0.03300000000000001
healthy,3,3,-0.005000000000000007
healthy,3,4,0.010999999999999996
healthy,3,5,0.010999999999999996
healthy,4,1,0.011000000000000005
healthy,4,2,-0.03300000000000001
healthy,4,3,-0.005000000000000007
healthy,4,4,0.010999999999999996
healthy,4,5,0.010999999999999996
healthy,5,1,0.011000000000000005
healthy,5,2,-0.03300000000000001
healthy,5,3,-0.005000000000000007
healthy,5,4,0.010999999999999996
healthy,5,5,0.010999999999999996
healthy,6,1,0.011000000000000005
healthy,6,2,-0.03300000000000001
healthy,6,3,-0.005000000000000007
healthy,6,4,0.010999999999999996
healthy,6,5,0.010999999999999996
healthy,7,1,0.011000000000000005
healthy,7,2,-0.03300000000000001
healthy,7,3,-0.005000000000000007
healthy,7,4,0.010999999999999996
healthy,7,5,0.010999999999999996
healthy,8,1,0.011000000000000005
healthy,8,2,-0.03300000000000001
healthy,8,3,-0.005000000000000007
healthy,8,4,0.010999999999999996
healthy,8,5,0.010999999999999996
healthy,9,1,0.011000000000000005
healthy,9,2,-0.03300000000000001
healthy,9,3,-0.005000000000000007
healthy,9,4,0.010999999999999996
healthy,9,5,0.010999999999999996
healthy,10,1,0.011000000000000005
healthy,10,2,-0.03300000000000001
healthy,10,3,-0.005000000000000007
healthy,10,4,0.010999999999999996
healthy,10,5,0.010999999999999996
healthy,11,1,0.011000000000000005
healthy,11,2,-0.03300000000000001
healthy,11,3,-0.005000000000000007
healthy,11,4,0.010999999999999996
healthy,11,5,0.010999999999999996
healthy,12,1,0.011000000000000005
healthy,12,2,-0.03300000000000001
healthy,12,3,-0.005000000000000007
healthy,12,4,0.010999999999999996
healthy,12,5,0.010999999999999996
healthy,13,1,0.011000000000000005
healthy,13,2,-0.03300000000000001
healthy,13,3,-0.005000000000000007
healthy,13,4,0.010999999999999996
healthy,13,5,0.010999999999999996
healthy,14,1,0.011000000000000005
