condition,agent,block,win_stay,lose_shift
healthy,21,4,0.1975,0.165
healthy,21,5,0.2155,0.144
healthy,22,1,0.1645,0.1355
healthy,22,2,0.2045,0.1765
healthy,22,3,0.2045,0.141
healthy,22,4,0.1975,0.165
healthy,22,5,0.2155,0.144
healthy,23,1,0.1645,0.1355
healthy,23,2,0.2045,0.1765
healthy,23,3,0.2045,0.141
healthy,23,4,0.1975,0.165
healthy,23,5,0.2155,0.144
healthy,24,1,0.1645,0.1355
healthy,24,2,0.2045,0.1765
healthy,24,3,0.2045,0.141
healthy,24,4,0.1975,0.165
healthy,24,5,0.2155,0.144
healthy,25,1,0.1645,0.1355
healthy,25,2,0.2045,0.1765
healthy,25,3,0.2045,0.141
healthy,25,4,0.1975,0.165
healthy,25,5,0.2155,0.144
healthy,26,1,0.1645,0.1355
healthy,26,2,0.2045,0.1765
healthy,26,3,0.2045,0.141
healthy,26,4,0.1975,0.165
healthy,26,5,0.2155,0.144
healthy,27,1,0.1645,0.1355
healthy,27,2,0.2045,0.1765
healthy,27,3,0.2045,0.141
healthy,27,4,0.1975,0.165
healthy,27,5,0.2155,0.144
healthy,28,1,0.1645,0.1355
healthy,28,2,0.2045,0.1765
healthy,28,3,0.2045,0.141
healthy,28,4,0.1975,0.165
healthy,28,5,0.2155,0.144
healthy,29,1,0.1645,0.1355
healthy,29,2,0.2045,0.1765
healthy,29,3,0.2045,0.141
healthy,29,4,0.1975,0.165
healthy,29,5,0.2155,0.144
healthy,30,1,0.1645,0.1355
healthy,30,2,0.2045,0.1765
healthy,30,3,0.2045,0.141
healthy,30,4,0.1975,0.165
healthy,30,5,0.2155,0.144
healthy,31,1,0.1645,0.1355
healthy,31,2,0.2045,0.1765
healthy,31,3,0.2045,0.141
healthy,31,4,0.1975,0.165
healthy,31,5,0.2155,0.144
healthy,32,1,0.1645,0.1355
healthy,32,2,0.2045,0.1765
healthy,32,3,0.2045,0.141
healthy,32,4,0.1975,0.165
healthy,32,5,0.2155,0.144
healthy,33,1,0.1645,0.1355
healthy,33,2,0.2045,0.1765
healthy,33,3,0.2045,0.141
healthy,33,4,0.1975,0.165
healthy,33,5,0.2155,0.144
healthy,34,1,0.1645,0.1355
healthy,34,2,0.2045,0.1765
