condition,agent,block,win_stay,lose_shift
healthy,17,1,0.1925,0.1475
healthy,17,2,0.2075,0.1605
healthy,17,3,0.201,0.1375
healthy,17,4,0.2,0.151
healthy,17,5,0.217,0.1445
healthy,18,1,0.1925,0.1475
healthy,18,2,0.2075,0.1605
healthy,18,3,0.201,0.1375
healthy,18,4,0.2,0.151
healthy,18,5,0.217,0.1445
healthy,19,1,0.1925,0.1475
healthy,19,2,0.2075,0.1605
healthy,19,3,0.201,0.1375
healthy,19,4,0.2,0.151
healthy,19,5,0.217,0.1445
healthy,20,1,0.1925,0.1475
healthy,20,2,0.2075,0.1605
healthy,20,3,0.201,0.1375
healthy,20,4,0.2,0.151
healthy,20,5,0.217,0.1445
healthy,21,1,0.1925,0.1475
healthy,21,2,0.2075,0.1605
healthy,21,3,0.201,0.1375
healthy,21,4,0.2,0.151
healthy,21,5,0.217,0.1445
healthy,22,1,0.1925,0.1475
healthy,22,2,0.2075,0.1605
healthy,22,3,0.201,0.1375
healthy,22,4,0.2,0.151
healthy,22,5,0.217,0.1445
healthy,23,1,0.1925,0.1475
healthy,23,2,0.2075,0.1605
healthy,23,3,0.201,0.1375
healthy,23,4,0.2,0.151
healthy,23,5,0.217,0.1445
healthy,24,1,0.1925,0.1475
healthy,24,2,0.2075,0.1605
healthy,24,3,0.201,0.1375
healthy,24,4,0.2,0.151
healthy,24,5,0.217,0.1445
healthy,25,1,0.1925,0.1475
healthy,25,2,0.2075,0.1605
healthy,25,3,0.201,0.1375
healthy,25,4,0.2,0.151
healthy,25,5,0.217,0.1445
healthy,26,1,0.1925,0.1475
healthy,26,2,0.2075,0.1605
healthy,26,3,0.201,0.1375
healthy,26,4,0.2,0.151
healthy,26,5,0.217,0.1445
healthy,27,1,0.1925,0.1475
healthy,27,2,0.2075,0.1605
healthy,27,3,0.201,0.1375
healthy,27,4,0.2,0.151
healthy,27,5,0.217,0.1445
healthy,28,1,0.1925,0.1475
healthy,28,2,0.2075,0.1605
healthy,28,3,0.201,0.1375
healthy,28,4,0.2,0.151
healthy,28,5,0.217,0.1445
healthy,29,1,0.1925,0.1475
healthy,29,2,0.2075,0.1605
healthy,29,3,0.201,0.1375
healthy,29,4,0.2,0.151
healthy,29,5,0.217,0.1445
healthy,30,1,0.1925,0.1475
healthy,30,2,0.2075,0.1605
healthy,30,3,0.201,0.1375
healthy,30,4,0.2,0.151
healthy,30,5,0.217,0.1445
healthy,31,1,0.1925,0.1475
healthy,31,2,0.2075,0.1605
healthy,31,3,0.201,0.1375
healthy,31,4,0.2,0.151
healthy,31,5,0.217,0.1445
healthy,32,1,0.1925,0.1475
healthy,32,2,0.2075,0.1605
healthy,32,3,0.201,0.1375
healthy,32,4,0.2,0.151
healthy,32,5,0.217,0.1445
healthy,33,1,0.1925,0.1475
healthy,33,2,0.2075,0.1605
healthy,33,3,0.201,0.1375
healthy,33,4,0.2,0.151
healthy,33,5,0.217,0.1445
healthy,34,1,0.1925,0.1475
healthy,34,2,0.2075,0.1605
healthy,34,3,0.201,0.1375
healthy,34,4,0.2,0.151
healthy,34,5,0.217,0.1445
healthy,35,1,0.1925,0.1475
healthy,35,2,0.2075,0.1605
healthy,35,3,0.201,0.1375
healthy,35,4,0.2,0.151
healthy,35,5,0.217,0.1445
healthy,36,1,0.1925,0.1475
healthy,36,2,0.2075,0.1605
healthy,36,3,0.201,0.1375
healthy,36,4,0.2,0.151
healthy,36,5,0.217,0.1445
healthy,37,1,0.1925,0.1475
healthy,37,2,0.2075,0.1605
healthy,37,3,0.201,0.1375
healthy,37,4,0.2,0.151
healthy,37,5,0.217,0.1445
healthy,38,1,0.1925,0.1475
healthy,38,2,0.2075,0.1605
healthy,38,3,0.201,0.1375
healthy,38,4,0.2,0.151
healthy,38,5,0.217,0.1445
healthy,39,1,0.1925,0.1475
healthy,39,2,0.2075,0.1605
healthy,39,3,0.201,0.1375
healthy,39,4,0.2,0.151
healthy,39,5,0.217,0.1445
healthy,40,1,0.1925,0.1475
healthy,40,2,0.2075,0.1605
healthy,40,3,0.201,0.1375
healthy,40,4,0.2,0.151
healthy,40,5,0.217,0.1445
healthy,41,1,0.1925,0.1475
healthy,41,2,0.2075,0.1605
healthy,41,3,0.201,0.1375
healthy,41,4,0.2,0.151
healthy,41,5,0.217,0.1445
healthy,42,1,0.1925,0.1475
healthy,42,2,0.2075,0.1605
healthy,42,3,0.201,0.1375
healthy,42,4,0.2,0.151
healthy,42,5,0.217,0.1445
healthy,43,1,0.1925,0.1475
healthy,43,2,0.2075,0.1605
healthy,43,3,0.201,0.1375
healthy,43,4,0.2,0.151
healthy,43,5,0.217,0.1445
healthy,44,1,0.1925,0.1475
healthy,44,2,0.2075,0.1605
healthy,44,3,0.201,0.1375
healthy,44,4,0.2,0.151
healthy,44,5,0.217,0.1445
healthy,45,1,0.1925,0.1475
healthy,45,2,0.2075,0.1605
healthy,45,3,0.201,0.1375
healthy,45,4,0.2,0.151
healthy,45,5,0.217,0.1445
healthy,46,1,0.1925,0.1475
healthy,46,2,0.2075,0.1605
healthy,46,3,0.201,0.1375
healthy,46,4,0.2,0.151
healthy,46,5,0.217,0.1445
healthy,47,1,0.1925,0.1475
healthy,47,2,0.2075,0.1605
healthy,47,3,0.201,0.1375
healthy,47,4,0.2,0.151
healthy,47,5,0.217,0.1445
healthy,48,1,0.1925,0.1475
healthy,48,2,0.2075,0.1605
healthy,48,3,0.201,0.1375
healthy,48,4,0.2,0.151
healthy,48,5,0.217,0.1445
healthy,49,1,0.1925,0.1475
healthy,49,2,0.2075,0.1605
healthy,49,3,0.201,0.1375
healthy,49,4,0.2,0.151
healthy,49,5,0.217,0.1445
healthy,50,1,0.1925,0.1475
healthy,50,2,0.2075,0.1605
healthy,50,3,0.201,0.1375
healthy,50,4,0.2,0.151
healthy,50,5,0.217,0.1445
depleted,1,1,0.1925,0.1475
depleted,1,2,0.2075,0.1605
depleted,1,3,0.201,0.1375
depleted,1,4,0.2,0.151
depleted,1,5,0.217,0.1445
depleted,2,1,0.1925,0.1475
depleted,2,2,0.2075,0.1605
depleted,2,3,0.201,0.1375
depleted,2,4,0.2,0.151
depleted,2,5,0.217,0.1445
depleted,3,1,0.1925,0.1475
depleted,3,2,0.2075,0.1605
depleted,3,3,0.201,0.1375
depleted,3,4,0.2,0.151
depleted,3,5,0.217,0.1445
depleted,4,1,0.1925,0.1475
depleted,4,2,0.2075,0.1605
depleted,4,3,0.201,0.1375
depleted,4,4,0.2,0.151
depleted,4,5,0.217,0.1445
depleted,5,1,0.1925,0.1475
depleted,5,2,0.2075,0.1605
depleted,5,3,0.201,0.1375
depleted,5,4,0.2,0.151
depleted,5,5,0.217,0.1445
depleted,6,1,0.1925,0.1475
depleted,6,2,0.2075,0.1605
depleted,6,3,0.201,0.1375
depleted,6,4,0.2,0.151
depleted,6,5,0.217,0.1445
depleted,7,1,0.1925,0.1475
depleted,7,2,0.2075,0.1605
depleted,7,3,0.201,0.1375
depleted,7,4,0.2,0.151
depleted,7,5,0.217,0.1445
depleted,8,1,0.1925,0.1475
depleted,8,2,0.2075,0.1605
depleted,8,3,0.201,0.1375
depleted,8,4,0.2,0.151
depleted,8,5,0.217,0.1445
depleted,9,1,0.1925,0.1475
depleted,9,2,0.2075,0.1605
depleted,9,3,0.201,0.1375
depleted,9,4,0.2,0.151
depleted,9,5,0.217,0.1445
depleted,10,1,0.1925,0.1475
